Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Door_Pockets,Engine_Malfunction_Light,Fuel-lid_Opener,Fuel_Gauge,Multifunction_Display,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags,USB_Compatibility,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Selling_Price
35,217,705,655,11,3.0,4.0,2,1,0,1,0,7,5,94,18,5,5.0,210,1,35,2,0,78,125,0,0,350,18,1,0,0,2,5.0,4,4,1,4,9,27,1,1,1,1,1,2,0,1,1,1,2.0,1,0,2,16.63
35,217,706,685,11,3.0,4.0,2,1,0,1,0,7,5,94,18,5,5.0,210,1,35,2,0,78,125,0,0,350,18,1,0,0,2,5.0,4,4,1,4,9,27,1,1,1,1,1,2,0,1,1,1,2.0,1,0,2,16.63
35,217,707,715,11,3.0,4.0,2,1,0,1,0,7,5,94,18,5,5.0,210,1,35,2,0,78,125,0,0,350,18,1,0,0,2,5.0,4,4,1,4,9,27,1,1,1,1,1,2,0,1,1,1,2.0,1,0,2,16.63
35,217,708,722,11,3.0,4.0,2,1,0,1,0,7,5,94,18,5,5.0,225,1,35,1,0,59,110,0,0,350,18,1,0,0,3,5.0,0,4,1,7,2,26,1,1,1,1,1,2,0,1,1,1,2.0,1,0,2,16.62
35,217,709,747,11,3.0,4.0,2,1,0,1,0,7,5,94,18,5,5.0,225,1,35,1,0,59,110,0,0,350,18,1,0,0,3,5.0,0,4,1,7,2,26,1,1,1,1,1,2,0,1,1,1,2.0,1,0,2,16.62
35,217,710,757,11,3.0,4.0,2,1,0,1,0,7,5,94,18,5,5.0,225,1,35,1,0,59,110,0,0,350,18,1,0,0,3,5.0,0,4,1,7,2,26,1,1,1,1,1,2,0,1,1,1,2.0,1,0,2,16.62
24,46,909,558,127,3.0,4.0,2,1,2,1,0,7,5,108,13,5,5.0,213,1,33,2,0,93,38,0,0,306,334,1,0,0,3,5.0,4,4,6,9,3,25,1,1,1,1,1,0,2,1,1,0,2.0,0,0,2,17.85
24,46,908,552,127,3.0,4.0,2,1,2,1,0,7,5,108,13,5,5.0,213,1,33,2,0,93,38,0,0,306,334,1,0,0,3,5.0,4,4,6,9,3,25,1,1,1,1,1,0,2,1,0,0,1.0,0,0,2,17.77
24,46,914,605,127,3.0,4.0,2,1,2,1,0,7,5,108,13,5,5.0,213,1,33,2,0,93,38,0,0,306,334,1,0,0,3,5.0,1,4,6,9,3,25,1,1,1,1,1,0,2,1,0,0,1.0,0,0,2,17.9
24,46,915,612,127,3.0,4.0,2,1,2,1,0,7,5,108,13,5,5.0,213,1,33,2,0,93,38,0,0,306,334,1,0,0,3,5.0,1,4,6,9,3,25,1,1,1,1,1,0,2,1,1,0,2.0,0,0,2,17.98
